Date,Open,High,Low,Close,Volume
2016-01-17,38.0139,38.2961,29.635,29.995,293906.3298108
2016-01-24,29.995,30.515,24.84,28.38,287834.12082655
2016-01-31,28.12,28.5359,26.0877,28.3283,128774.81987542
2016-02-07,28.3283,31.8677,25.9843,31.7649,168104.97128117
2016-02-14,31.2442,31.2442,26.6617,27.4432,141647.29041125
2016-02-21,27.4432,41.6581,25.6718,33.8482,378208.69200174
2016-02-28,34.4746,40.2006,34.3691,37.3975,286500.51784468
2016-03-06,37.3975,41.6143,37.345,40.3162,192164.11568161
2016-03-13,41.4519,43.0726,38.424,39.0735,244145.39850616
2016-03-20,39.0735,39.613,35.2899,37.83,280591.18104089
2016-03-27,37.83,42.9453,37.3975,42.6939,157920.58775785
2016-04-03,42.9109,47.7741,42.1746,43.6666,240477.29427106
2016-04-10,43.6666,44.4769,40.263,40.4248,307341.19659368
2016-04-17,41.1258,42.0999,37.993,40.0993,358606.95548015
2016-04-24,39.7222,41.3427,38.424,40.7487,292853.92495245
2016-05-01,41.0734,48.045,40.4248,47.017,336647.05251673
2016-05-08,47.7741,48.4236,43.6666,45.2089,326628.3253137
2016-05-15,44.9309,49.1764,43.8124,45.2658,204986.47170038
2016-05-22,47.2211,50.182,44.8174,49.6239,263800.03368464
2016-05-29,49.6239,52.054,49.4559,51.2446,247052.04049587
2016-06-05,51.3013,52.7545,48.897,52.0836,135313.37228234
2016-06-12,51.9714,54.4836,48.897,48.9537,256537.60492013
2016-06-19,48.3395,49.2899,43.2528,44.4273,298060.26644743
2016-06-26,45.2089,46.1601,43.1969,44.1479,176795.66378201
2016-07-03,43.5337,46.5501,41.1854,46.4387,172506.69636328
2016-07-10,46.2153,46.8856,44.3275,44.9309,114052.28841798
2016-07-17,45.5444,46.9983,44.4273,44.4273,160747.8817622
2016-07-24,44.4273,45.8798,42.5827,44.594,171851.0314317
2016-07-31,44.7067,45.4898,40.2968,40.85,271750.14498887
2016-08-07,40.7939,42.4296,38.6568,39.1704,338920.30269355
2016-08-14,38.8845,39.9125,37.511,37.9686,210318.09948801
2016-08-21,37.9119,40.9419,37.626,39.057,245139.33642793
2016-08-28,38.7121,39.7415,33.2814,33.5665,364399.35841079
2016-09-04,33.5665,35.5392,32.3086,34.4228,317073.15739351
2016-09-11,34.0803,34.8237,32.6528,32.6528,183625.15880188
2016-09-18,32.5946,32.6528,28.5345,30.1924,382776.07340415
2016-09-25,30.65,31.7354,29.163,29.8497,227504.5947011
2016-10-02,29.3908,30.7069,29.3347,30.3067,142309.91569243
2016-10-09,30.3067,32.8231,29.7643,30.3067,261163.45325911
2016-10-16,30.8217,31.0502,26.6467,27.161,388374.97861612
2016-10-23,26.8772,29.8497,26.1323,29.4482,190705.22640708
2016-10-30,29.5064,29.7931,25.1596,28.7637,410252.74945436
2016-11-06,28.3621,28.5345,23.159,24.0167,407321.05020612
2016-11-13,24.4168,27.3901,23.159,26.9333,227325.01768162
2016-11-20,26.9333,28.9921,25.6741,28.8197,248946.64765487
2016-11-27,29.7356,30.2499,27.7343,29.0481,206556.72656838
2016-12-04,29.1056,29.1056,27.6768,28.3621,232525.79089692
2016-12-11,28.4771,33.2814,28.4771,32.7663,519623.50673661
2016-12-18,33.1658,33.5665,30.8786,32.3086,390529.90284987
2016-12-25,31.7937,36.4249,31.622,35.6254,413650.79212528
2017-01-01,35.6254,36.2546,33.8539,34.3675,267145.17769866
2017-01-08,34.7677,37.9119,34.7101,36.7682,206404.99094727
2017-01-15,36.9399,36.9974,35.5112,36.4249,179302.78170512
2017-01-22,36.7682,39.6273,35.0528,36.9399,448082.24948803
2017-01-29,36.8824,39.7415,36.3115,37.9686,275620.09936214
2017-02-05,37.6834,37.9686,36.0097,36.1971,535004.48726549
2017-02-12,35.6829,35.9098,33.5931,34.9954,625796.67941621
2017-02-19,35.0528,35.5112,29.4482,33.3949,629918.59844473
2017-02-26,32.8805,33.1076,30.0782,30.4216,468136.40873311
2017-03-05,30.5358,30.5358,29.0208,29.7356,596682.9291419
2017-03-12,29.5632,29.5632,25.7903,26.0188,547558.17378999
2017-03-19,26.0188,27.4476,24.5886,25.7321,361354.90149916
2017-03-26,27.8485,28.5345,26.4175,26.704,291371.37048931
2017-04-02,26.4175,27.819,25.7321,26.5892,217879.82328499
2017-04-09,26.5324,27.6768,25.7321,27.161,194364.97822266
2017-04-16,27.105,29.0481,26.3607,26.9908,205523.8106889
2017-04-23,26.819,28.2493,25.7903,26.6467,223626.28790832
2017-04-30,26.704,28.8778,25.7321,28.0762,262343.92854995
2017-05-07,27.9052,28.3621,25.7853,27.1063,310174.05887771
2017-05-14,26.7623,28.1402,26.0202,26.3586,169112.82990212
2017-05-21,26.4154,28.4145,26.2831,26.9914,250632.4443261
2017-05-28,26.9914,27.6229,25.3256,25.3256,291353.27358037
2017-06-04,25.2682,25.5547,21.5923,21.708,324490.10591897
2017-06-11,21.5923,24.2912,19.4114,23.4305,308087.34606997
2017-06-18,23.4305,24.0628,21.5363,22.1669,129839.75336303
2017-06-25,22.2245,22.9134,20.0995,21.1915,662149.19326641
2017-07-02,21.3631,21.5363,19.7547,20.0414,217290.97770949
2017-07-09,20.0995,22.5692,19.6973,19.9279,186722.51437042
2017-07-16,19.7547,21.9371,19.5838,21.249,178054.09498828
2017-07-23,21.3057,23.4305,21.0146,22.9708,149023.86890908
2017-07-30,22.7991,23.2582,20.0414,20.2727,188579.53564161
2017-08-06,20.2727,21.1915,19.1226,19.1808,169175.47304845
